model,Store,MAE,RMSE,sMAPE
transformer_exog,1,346999.3276326239,368709.4077463414,24.162439768790268
transformer_exog,2,284051.29687363055,326375.8224139029,16.06789942186808
transformer_exog,3,69673.20991742126,81600.47369863719,17.55184277519881
transformer_exog,4,366709.74381809245,391275.56784446514,18.390933720633623
transformer_exog,5,59810.84403388915,72154.41858159156,16.319074992891768
transformer_exog,6,254253.2610027253,311947.28006860684,15.219373465524967
transformer_exog,7,115277.60226906872,139643.96927237295,21.016576208520693
transformer_exog,8,117773.11701095566,138972.14829339407,13.649804099259972
transformer_exog,9,111289.96785572551,123106.74665277662,22.085701164544016
transformer_exog,10,548399.6435226899,575699.4735053701,35.11028920899544
transformer_exog,11,509286.9373494951,522894.95786602824,46.65608822081886
transformer_exog,12,375608.1418127114,384480.40647690697,45.302471858094165
transformer_exog,13,167958.02981889082,208714.98687988153,8.619631466880248
transformer_exog,14,228577.48327299053,282245.54311112355,12.89630912423198
transformer_exog,15,146168.17720489524,159768.7259248314,28.54786094151088
transformer_exog,16,88906.03828392354,110520.49879182743,18.75067553979801
transformer_exog,17,222728.21862197615,250034.18457429853,26.98184856414533
transformer_exog,18,259877.15152795106,270395.9577919877,28.070659585841966
transformer_exog,19,220895.5667325976,252485.82182821058,17.37934424327941
transformer_exog,20,278791.2775788047,368603.6630226196,14.20940417549476
transformer_exog,21,222880.7299309045,232810.97973985103,37.24067424163657
transformer_exog,22,227391.23554385573,244595.25528435383,25.682943730049754
transformer_exog,23,185771.12928866068,213997.73170287258,14.093967054744247
transformer_exog,24,257284.75453914521,281989.19921086315,21.09828766878985
transformer_exog,25,190966.39531433763,201902.64920587224,32.08068388618245
transformer_exog,26,164105.22394847622,194109.7818015882,17.60782918582127
transformer_exog,27,147850.28940448066,185832.0885210447,9.129681957863298
transformer_exog,28,412123.0227230962,434783.35269127885,37.37419252014642
transformer_exog,29,54116.374077921995,67746.78985571688,10.027372419625339
transformer_exog,30,90584.36274297888,109991.25788580194,18.537073563863487
transformer_exog,31,181212.07586648565,210624.2607396431,14.072539445395755
transformer_exog,32,144340.94837378894,165873.97964317352,13.384108325962185
transformer_exog,33,60643.48548678409,76631.50977826428,20.1798355558227
transformer_exog,34,275731.6419757896,284776.73127451417,32.966161988303114
transformer_exog,35,100658.85013465992,121987.66827346003,12.489308385308366
transformer_exog,36,116789.09825788658,130950.343558993,31.08238830261261
transformer_exog,37,97783.68436054818,130118.7347689527,16.688218136510585
transformer_exog,38,63731.15104994117,76337.79477157693,15.529244985405308
transformer_exog,39,241454.13005332812,268584.4140650899,17.068308572661074
transformer_exog,40,238459.2409329144,265612.48289402795,28.228541200959672
transformer_exog,41,109835.48954377414,134256.43748578682,8.575057771582056
transformer_exog,42,110224.78548794216,133547.37119403924,17.517042855644164
transformer_exog,43,142696.0672953867,160660.9076489698,26.16228576781414
transformer_exog,44,103880.83872728929,118972.64553658415,26.251098012389587
transformer_exog,45,127218.4894720864,142310.15654659554,18.117220061863005
