model,Store,MAE,RMSE,sMAPE,group
deepar_exog,1,132918.96679487175,157156.83193949837,8.484138803962425,TRAIN_GROUP
deepar_exog,2,132512.2066666667,154321.8192974,7.086241520197928,TRAIN_GROUP
deepar_exog,4,74508.03961538461,93157.0177191132,3.370048104511337,TRAIN_GROUP
deepar_exog,6,99645.52076923076,131121.66783156226,6.3865560751658395,TRAIN_GROUP
deepar_exog,7,74100.60278846153,86599.86199493131,12.809633473869363,TRAIN_GROUP
deepar_exog,8,57272.052692307676,74146.29053256463,6.304363705071469,TRAIN_GROUP
deepar_exog,10,88300.88846153843,104689.8050207764,4.736316358483093,TRAIN_GROUP
deepar_exog,11,87090.1532051282,113021.28813592532,6.410762618564101,TRAIN_GROUP
deepar_exog,12,63639.58237179488,78742.10757800423,6.269174572835361,TRAIN_GROUP
deepar_exog,13,94426.50397435899,116755.14199460966,4.685827015551376,TRAIN_GROUP
deepar_exog,14,188369.64782051282,226296.774838234,10.447118802235751,TRAIN_GROUP
deepar_exog,15,28711.18352564103,38216.3323175861,4.8651581978563625,TRAIN_GROUP
deepar_exog,17,96428.97955128204,117066.47354343746,10.573999252913806,TRAIN_GROUP
deepar_exog,18,95725.73762820513,112473.62681294895,9.378342833102218,TRAIN_GROUP
deepar_exog,19,78428.51358974358,101984.31201780925,5.691552917640573,TRAIN_GROUP
deepar_exog,20,154802.81166666668,203875.25118365156,7.471793001841948,TRAIN_GROUP
deepar_exog,21,44344.8951923077,51956.40220704642,6.196338469823974,TRAIN_GROUP
deepar_exog,22,48784.208076923074,67119.4202766386,4.870347733814349,TRAIN_GROUP
deepar_exog,23,94531.51230769232,127236.3869048469,6.818034046351477,TRAIN_GROUP
deepar_exog,24,102474.89294871796,127024.9783929351,7.69221150882941,TRAIN_GROUP
deepar_exog,25,36746.53416666668,46791.39820247027,5.344353830041824,TRAIN_GROUP
deepar_exog,26,100891.41038461539,115252.15134857963,10.411187180517512,TRAIN_GROUP
deepar_exog,27,86016.53448717951,112904.69922189163,5.031315054663309,TRAIN_GROUP
deepar_exog,28,91341.61628205131,121887.79704204775,6.873272854521378,TRAIN_GROUP
deepar_exog,29,29799.972051282057,40628.117644041755,5.685348362364161,TRAIN_GROUP
deepar_exog,31,54751.004615384605,68389.27988670382,3.944704969137063,TRAIN_GROUP
deepar_exog,32,81233.64839743591,93845.22352059222,7.14589314687818,TRAIN_GROUP
deepar_exog,34,58505.78211538464,66758.0990350676,6.136770029408922,TRAIN_GROUP
deepar_exog,35,59931.38314102565,75045.22371687749,7.2024510832840845,TRAIN_GROUP
deepar_exog,39,160333.05397435898,185330.82426810203,10.775123670018118,TRAIN_GROUP
deepar_exog,40,68098.50564102565,89923.35633199329,7.150728315807205,TRAIN_GROUP
deepar_exog,41,138642.0926923077,151445.11479000584,10.758461026727364,TRAIN_GROUP
deepar_exog,42,40397.63358974358,51400.80382452193,6.981084736583278,TRAIN_GROUP
deepar_exog,43,43992.745192307695,52074.66322001257,7.228501154543631,TRAIN_GROUP
deepar_exog,45,43328.916153846156,60355.26545950882,5.696714665124163,TRAIN_GROUP
deepar_exog,3,41342.68807692307,45875.00187400806,10.125345850561718,TEST_GROUP
deepar_exog,5,26194.429743589742,30825.57962791059,8.069648736963165,TEST_GROUP
deepar_exog,9,37121.94705128205,46183.35947816125,6.657675896656613,TEST_GROUP
deepar_exog,16,41428.303814102575,48565.871714710316,8.127787050197673,TEST_GROUP
deepar_exog,30,29576.24580128205,33547.47572238577,7.013397688060284,TEST_GROUP
deepar_exog,33,27589.27681089744,32729.63736422861,10.694129294337092,TEST_GROUP
deepar_exog,36,30739.49756410256,34902.092643460994,9.667067391980844,TEST_GROUP
deepar_exog,37,29010.00778846154,34091.96810872717,5.673700171147822,TEST_GROUP
deepar_exog,38,61973.997371794874,66725.59799646949,15.29605853744206,TEST_GROUP
deepar_exog,44,38899.47794871795,41701.888119305266,12.437085012173359,TEST_GROUP
