model,Store,MAE,RMSE,sMAPE,group
transformer_exog,1,713468.6921074709,725332.4124582617,57.90015017978835,TRAIN_GROUP
transformer_exog,2,742200.6433266641,766667.8586065928,49.146058045116355,TRAIN_GROUP
transformer_exog,4,773783.8556863386,790282.4094045183,43.781063991528136,TRAIN_GROUP
transformer_exog,6,649202.0695518056,668863.7204649666,52.91545175442654,TRAIN_GROUP
transformer_exog,7,113401.64414776825,135802.73019275855,20.593529419297326,TRAIN_GROUP
transformer_exog,8,338737.3768948993,344207.00927597145,45.2404430678347,TRAIN_GROUP
transformer_exog,10,655630.5815373877,672607.9991446492,44.75384971141474,TRAIN_GROUP
transformer_exog,11,581806.4233939342,594512.7903082932,54.79800970144366,TRAIN_GROUP
transformer_exog,12,373816.71864535747,379669.61519980145,44.910850765097685,TRAIN_GROUP
transformer_exog,13,737887.109909342,764468.8516760833,44.6794240134441,TRAIN_GROUP
transformer_exog,14,525674.9747804417,553050.0918730983,34.112542983922935,TRAIN_GROUP
transformer_exog,15,94397.82593330402,113552.085721054,17.46427266870208,TRAIN_GROUP
transformer_exog,17,372835.32635830867,386252.13311996567,49.359206313522286,TRAIN_GROUP
transformer_exog,18,423330.6236538913,431301.5125599628,50.27382389196183,TRAIN_GROUP
transformer_exog,19,553753.2410785317,579332.905372202,50.32416186317949,TRAIN_GROUP
transformer_exog,20,782617.2875088296,807585.640760306,46.11107034782916,TRAIN_GROUP
transformer_exog,21,176297.32989051723,187549.37395763744,28.422847948534052,TRAIN_GROUP
transformer_exog,22,388735.47357081,398957.18147253816,48.05070624878553,TRAIN_GROUP
transformer_exog,23,585205.3260207692,609481.214703672,53.12347914470049,TRAIN_GROUP
transformer_exog,24,575684.6052805188,598181.8657391071,54.465866010637214,TRAIN_GROUP
transformer_exog,25,191415.77936207847,204284.46256331963,32.35303098352957,TRAIN_GROUP
transformer_exog,26,424621.9223779287,434058.08243407024,53.020758288345625,TRAIN_GROUP
transformer_exog,27,655082.4540871838,684736.5912276051,48.2925852393791,TRAIN_GROUP
transformer_exog,28,539353.2866473743,554259.8281271392,52.75861433398999,TRAIN_GROUP
transformer_exog,29,58337.95020889357,72317.63079227987,11.710044121942621,TRAIN_GROUP
transformer_exog,31,579835.645046467,587873.9351208047,52.95319218349723,TRAIN_GROUP
transformer_exog,32,514491.32152192516,524414.9612531539,56.219673149321466,TRAIN_GROUP
transformer_exog,34,384450.8756868058,390387.91989710205,49.29746844678544,TRAIN_GROUP
transformer_exog,35,299227.05975623324,311027.01890289487,43.393946019157354,TRAIN_GROUP
transformer_exog,39,682943.2940702754,711677.764817159,57.19426722356415,TRAIN_GROUP
transformer_exog,40,360635.67187532445,375225.90943691944,45.6473475414998,TRAIN_GROUP
transformer_exog,41,621384.0755237951,636340.434219822,60.26356201845199,TRAIN_GROUP
transformer_exog,42,97717.09919314043,114214.7047142988,18.326028216553112,TRAIN_GROUP
transformer_exog,43,130183.22577396185,141510.6348331048,23.386950157438644,TRAIN_GROUP
transformer_exog,45,227845.71732776688,236470.93052575758,34.838408560234825,TRAIN_GROUP
transformer_exog,3,51509.60415751693,69725.76345653144,11.402117129123686,TEST_GROUP
transformer_exog,5,117463.7191955011,129164.44229900102,29.56037869505951,TEST_GROUP
transformer_exog,9,96336.07421654544,111325.03613020039,18.798542730850947,TEST_GROUP
transformer_exog,16,65959.54253004034,79311.51923254797,13.37990850513494,TEST_GROUP
transformer_exog,30,54945.38202932035,67678.08021124237,12.013090108589301,TEST_GROUP
transformer_exog,33,168084.13539052903,175556.95510212038,47.4075108757755,TEST_GROUP
transformer_exog,36,143154.99420111685,150246.0512814872,37.58171677672938,TEST_GROUP
transformer_exog,37,47946.14937034453,62931.36363268241,9.730995649962532,TEST_GROUP
transformer_exog,38,52566.89904725358,59928.358142142875,11.656775239306906,TEST_GROUP
transformer_exog,44,108146.05543729264,122700.94205416429,27.03281828957846,TEST_GROUP
