Store,mean_pred_base,mean_pred_shocked,delta_abs,delta_pct
1,1475387.8,1480396.5,5008.75,0.33948702
2,1785559.8,1788113.9,2554.125,0.14304338
3,383016.6,384662.38,1645.7812,0.4296893
4,2090170.9,2090066.5,-104.375,-0.004993611
5,303633.0,305622.94,1989.9375,0.6553759
6,1462703.0,1465811.2,3108.25,0.21250042
7,588360.6,586452.44,-1908.1875,-0.32432276
8,867955.7,870496.94,2541.25,0.29278567
9,526147.2,528678.7,2531.5,0.48113912
10,1774529.9,1774311.0,-218.875,-0.012334253
11,1282462.6,1291500.2,9037.625,0.70470864
12,976073.6,976426.56,352.9375,0.0361589
13,1920645.5,1918920.6,-1724.875,-0.08980705
14,1912628.9,1922183.6,9554.75,0.4995611
15,558866.44,557927.5,-938.9375,-0.1680075
16,506934.62,506133.12,-801.5,-0.15810718
17,830530.8,829660.94,-869.875,-0.10473724
18,925563.5,925128.6,-434.875,-0.046984892
19,1291720.4,1291141.4,-579.0,-0.04482394
20,2012421.1,2019578.2,7157.125,0.35564747
21,733277.06,736979.3,3702.25,0.50489104
22,943114.06,941215.8,-1898.25,-0.2012747
23,1313674.5,1314344.8,670.25,0.05102101
24,1193556.8,1190142.6,-3414.125,-0.2860463
25,679445.3,678526.7,-918.625,-0.1352022
26,954086.9,953979.3,-107.5625,-0.011273868
27,1562065.0,1549052.1,-13012.875,-0.8330559
28,1268536.5,1263218.5,-5318.0,-0.41922325
29,482541.9,482635.6,93.6875,0.019415412
30,406865.6,408769.66,1904.0625,0.46798316
31,1354065.9,1358003.2,3937.375,0.29078165
32,1116427.6,1124003.6,7576.0,0.67859304
33,240888.39,241273.44,385.04688,0.15984452
34,937511.3,935337.56,-2173.75,-0.23186387
35,747077.75,743845.0,-3232.75,-0.43271935
36,342590.7,345155.38,2564.6875,0.7486156
37,497989.2,501122.4,3133.2188,0.62917405
38,383109.8,383035.5,-74.3125,-0.01939718
39,1392772.6,1398294.4,5521.75,0.3964574
40,924974.75,922573.0,-2401.75,-0.25965574
41,1226696.8,1224548.0,-2148.75,-0.17516553
42,545212.1,544790.3,-421.8125,-0.07736668
43,591403.2,593833.0,2429.8125,0.4108555
44,295931.34,296233.97,302.625,0.10226189
45,750281.4,750571.56,290.1875,0.038677156
__global__,985764.56,986548.8,784.22046,0.10249566
