Store,mean_pred_base,mean_pred_shocked,delta_abs,delta_pct
1,691532.8521322074,669201.106115886,-22331.746016321355,-3.2293109354769984
2,780139.8839695487,762164.5998109856,-17975.284158563125,-2.304110394548775
3,417407.10346156027,402078.6446063814,-15328.458855178847,-3.6723042631665397
4,788032.5201904731,777621.7831284365,-10410.737062036525,-1.321105004590442
5,406418.68919596507,394075.2280347846,-12343.461161180458,-3.037129317453397
6,719022.5854315034,703656.9721848749,-15365.613246628433,-2.137013990653318
7,395820.9942460343,389193.7491849213,-6627.245061112975,-1.6743035759729343
8,545533.4308244373,533709.3823331796,-11824.048491257709,-2.167428762961166
9,472563.5581345865,461104.02325759636,-11459.534876990132,-2.4249721925714907
10,714706.0306085384,695928.0130246131,-18778.017583925277,-2.627376400887045
11,668372.7727913576,647565.057281569,-20807.7155097886,-3.113190177225252
12,353548.75716138195,356273.4341232826,2724.6769619006664,0.7706651223375541
13,697475.6659365689,696277.0963431456,-1198.569593423279,-0.1718439297539997
14,742604.8841404786,731404.1940007326,-11200.690139745944,-1.5082973973043665
15,326048.02371350053,310016.0646108811,-16031.95910261944,-4.917054524675413
16,399197.48490812024,394107.08086653973,-5090.404041580507,-1.2751593469463165
17,409047.38712217775,403078.9798509666,-5968.407271211152,-1.4590992288696512
18,442379.36867116316,425695.829206188,-16683.539464975183,-3.771319515891952
19,553346.2813666897,538413.4871696132,-14932.794197076466,-2.6986345982473225
20,809874.2035320612,794130.008307566,-15744.195224495139,-1.944029721632177
21,498844.89825129975,479305.80858025356,-19539.089671046182,-3.916866693343049
22,448425.3408082925,430940.939777534,-17484.401030758512,-3.8990662301204146
23,592929.8881916135,584027.9852327142,-8901.90295889927,-1.5013415812195485
24,507761.3142908589,488115.18909731804,-19646.12519354088,-3.8691654209574278
25,473266.895134268,459114.3657816447,-14152.52935262327,-2.990390728387654
26,424654.68911958614,411865.2466146779,-12789.44250490825,-3.0117276065934693
27,645497.7518740937,625442.1261094647,-20055.62576462899,-3.107001644297113
28,445703.9208166267,440214.5498986889,-5489.3709179377765,-1.231618269787722
29,288399.10689220414,269146.1932043004,-19252.913687903725,-6.675788248921294
30,416697.56304703746,409046.21688416635,-7651.346162871108,-1.8361869234179833
31,667228.0280468479,645561.9425120944,-21666.08553475351,-3.2471785692480344
32,533953.8618221435,518491.51407533366,-15462.347746809886,-2.8958209411659412
33,229756.07933457367,208212.53342333777,-21543.54591123591,-9.376703316678698
34,392052.1163020508,383731.3301171049,-8320.7861849459,-2.1223673687646345
35,378831.91885580396,363170.2101066346,-15661.708749169367,-4.134210442581723
36,389663.02083800256,380004.10164484766,-9658.9191931549,-2.47878774136242
37,440378.28651373106,408869.7567033005,-31508.52981043054,-7.1548781525694265
38,190736.37995327203,193229.92914101807,2493.5491877460445,1.3073275210302995
39,690509.2141572437,674165.7215486588,-16343.49260858493,-2.3668753831955622
40,476103.1741198345,462477.31841354416,-13625.855706290342,-2.861954392864588
41,571496.8264117807,560771.7405407992,-10725.08587098145,-1.8766658667766078
42,294550.59475068067,270350.12768246594,-24200.467068214726,-8.216064574135034
43,402445.9094777175,383279.40353841544,-19166.505939302035,-4.762504845477437
44,309715.51661443565,295930.73034261627,-13784.78627181938,-4.450789686775699
45,430519.7321684475,414394.19927293685,-16125.532895510667,-3.7455967033820654
__global__,499404.3223406845,485456.753637467,-13947.56870321745,-3.0023387103885386
