Store,mean_pred_base,mean_pred_shocked,delta_abs,delta_pct
1,1537735.0129807692,1537735.0129807692,0.0,0.0
2,1930794.8699999999,1930794.8699999999,0.0,0.0
3,394646.6260576923,394646.6260576923,0.0,0.0
4,2064384.8566346152,2064384.8566346152,0.0,0.0
5,312441.175,312441.175,0.0,0.0
6,1565601.2776923077,1565601.2776923077,0.0,0.0
7,564007.2367307692,564007.2367307692,0.0,0.0
8,903838.1667307692,903838.1667307692,0.0,0.0
9,536272.3166346154,536272.3166346154,0.0,0.0
10,1923961.8307692308,1923961.8307692308,0.0,0.0
11,1352858.8692307693,1352858.8692307693,0.0,0.0
12,1004882.7141346154,1004882.7141346154,0.0,0.0
13,1990543.7836538462,1990543.7836538462,0.0,0.0
14,2100945.9798076926,2100945.9798076926,0.0,0.0
15,636876.8438461538,636876.8438461538,0.0,0.0
16,520686.7998076923,520686.7998076923,0.0,0.0
17,876415.7342307692,876415.7342307692,0.0,0.0
18,1094487.3146153847,1094487.3146153847,0.0,0.0
19,1465268.5183653845,1465268.5183653845,0.0,0.0
20,2106731.6164423074,2106731.6164423074,0.0,0.0
21,773074.9252884616,773074.9252884616,0.0,0.0
22,1037060.3344230771,1037060.3344230771,0.0,0.0
23,1387973.28375,1387973.28375,0.0,0.0
24,1360058.5140384617,1360058.5140384617,0.0,0.0
25,711597.6545192307,711597.6545192307,0.0,0.0
26,999102.1553846153,999102.1553846153,0.0,0.0
27,1805473.203846154,1805473.203846154,0.0,0.0
28,1334850.9502884618,1334850.9502884618,0.0,0.0
29,544755.3217307692,544755.3217307692,0.0,0.0
30,439395.0777884616,439395.0777884616,0.0,0.0
31,1395583.291346154,1395583.291346154,0.0,0.0
32,1161937.9077884615,1161937.9077884615,0.0,0.0
33,257240.34538461542,257240.34538461542,0.0,0.0
34,963091.8099999999,963091.8099999999,0.0,0.0
35,950368.9018269231,950368.9018269231,0.0,0.0
36,398207.3149038461,398207.3149038461,0.0,0.0
37,516851.35817307694,516851.35817307694,0.0,0.0
38,367773.0308653846,367773.0308653846,0.0,0.0
39,1414641.2073076924,1414641.2073076924,0.0,0.0
40,961678.9378846156,961678.9378846156,0.0,0.0
41,1240314.883653846,1240314.883653846,0.0,0.0
42,548409.5360576923,548409.5360576923,0.0,0.0
43,635881.1069230769,635881.1069230769,0.0,0.0
44,292006.22788461536,292006.22788461536,0.0,0.0
45,792181.5546153847,792181.5546153847,0.0,0.0
__global__,1048286.4528675216,1048286.4528675216,0.0,0.0
