Store,mean_pred_base,mean_pred_shocked,delta_abs,delta_pct
1,1506197.654967788,1278254.370108903,-227943.284858885,-15.133690064320268
2,1833462.6589800196,1535690.6021560794,-297772.05682394025,-16.240966532124244
3,350475.9890118492,315456.1216311871,-35019.86738066212,-9.992087469215512
4,2018829.0197847725,1910224.7228533495,-108604.29693142301,-5.379568842486786
5,315921.40699488623,277941.5202276328,-37979.886767253454,-12.021941510240309
6,1456823.7388163207,1347677.2183161722,-109146.52050014841,-7.49208827341259
7,358759.1919960789,329335.8526555781,-29423.339340500766,-8.201417551643486
8,867075.6126309461,708654.6892611025,-158420.92336984363,-18.270716078514877
9,514174.95496489544,485952.56241875427,-28222.39254614117,-5.488869551817827
10,1754285.8746233927,1527161.629028219,-227124.24559517368,-12.94682063400484
11,1449322.9534606913,1383326.812569605,-65996.14089108631,-4.55358419139784
12,889594.817287128,866292.2745727367,-23302.542714391253,-2.619455763631103
13,1684176.4912399591,1370518.6064298477,-313657.8848101115,-18.623813266695333
14,1262757.2403094305,-129125.93549501743,-1391883.1758044478,-110.22571333373435
15,316385.49376450496,124282.38562000018,-192103.10814450477,-60.71805184832297
16,319836.5567702948,243317.02722054772,-76519.52954974707,-23.924572701269746
17,1022927.5055369368,172911.25098703342,-850016.2545499033,-83.09643156029205
18,544236.5242617002,237810.6627179449,-306425.8615437553,-56.303803196495515
19,1017746.3943117306,704704.9225618704,-313041.4717498602,-30.758298285258004
20,1503478.4630494344,647815.023010772,-855663.4400386624,-56.912251227274695
21,745818.0920184678,853333.6354564249,107515.54343795707,14.415786448271728
22,581245.4997176375,471657.2221876572,-109588.27752998035,-18.854043185403945
23,608367.9264687991,342752.1328592144,-265615.79360958474,-43.660387415773336
24,1003987.5361479527,928534.3963862837,-75453.13976166898,-7.515346261285641
25,537569.9082140349,383392.8073940386,-154177.10081999627,-28.68038155859912
26,719837.8056729065,274233.5511040042,-445604.25456890225,-61.90342477946822
27,1078992.7897889407,287244.4346214917,-791748.355167449,-73.3784657932998
28,1413957.256947638,526910.6818387262,-887046.5751089118,-62.73503465188277
29,281917.51311993686,204348.92805070154,-77568.58506923533,-27.514638665330143
30,467854.2387029284,330771.42276568885,-137082.81593723956,-29.300325741898966
31,1519232.9173083943,1122970.3413060026,-396262.57600239175,-26.083069389020686
32,879843.7640623943,670926.7481380188,-208917.0159243755,-23.744785660555085
33,259548.17070713543,186162.90267679258,-73385.26803034285,-28.274238200333176
34,1001883.181245425,956592.309636483,-45290.87160894205,-4.520574100529534
35,407715.6360557653,-144652.15107706035,-552367.7871328257,-135.47868619325544
36,355144.59456888697,275855.3965804229,-79289.19798846409,-22.325891820122987
37,556046.9888214933,459998.40075317485,-96048.5880683185,-17.27346609175736
38,511524.3038940543,259301.8117720572,-252222.49212199711,-49.30801727345429
39,1557802.5640461966,1353562.8532269255,-204239.71081927116,-13.11075713528062
40,572225.3923997021,335041.7713584749,-237183.6210412272,-41.44933520803169
41,724493.645234597,268898.94452605455,-455594.7007085425,-62.88456823676033
42,591471.6016756532,276514.6442362865,-314956.9574393667,-53.24971757681791
43,687893.3596405961,516733.3541724691,-171160.00546812697,-24.88176445801905
44,323666.5999181732,267101.15142786206,-56565.44849031116,-17.476455248892403
45,618009.3601339955,728071.6497051562,110062.28957116068,17.809162234581237
__global__,866500.4264283216,610543.5924434592,-255956.8339848621,-31.117390396557145
