model,MAE,RMSE,sMAPE,file
deepar_exog__hs40__nl2__do0.1__lr0.001__bs32,61163.80030381944,89421.24083175145,6.128838649110576,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32_metrics_global.csv
deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64,62739.17031770834,89809.34656088587,6.422154547837532,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64_metrics_global.csv
deepar_exog__hs80__nl2__do0.1__lr0.0005__bs32,58954.48747048612,82957.67294170552,6.159343681940285,deepar_exog__hs80__nl2__do0.1__lr0.0005__bs32_metrics_global.csv
deepar_exog__hs80__nl3__do0.2__lr0.001__bs64,62260.558619791664,89886.14179160111,6.191488703678871,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64_metrics_global.csv
deepar_exog,59573.68460590279,86287.61716994045,6.041327229137563,deepar_exog_metrics_global.csv
lstm_exog,441124.924609105,518987.2168446685,46.10440739828156,lstm_exog_metrics_global.csv
<modelo>,441124.924609105,518987.2168446685,46.10440739828156,modelo_placeholder_metrics_global.csv
prophet_regressors,142509.7176278063,186757.80483626324,12.138909193925434,prophet_regressors_metrics_global.csv
sarimax_exog,124157.6802852749,169022.46995104413,10.889343183200204,sarimax_exog_metrics_global.csv
transformer_exog__dm128__nh8__nl2__do0.2__lr0.001,82876.35352192838,104778.98024461872,11.054149687795906,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001_metrics_global.csv
transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003,50989.60192418504,68451.73139720608,5.528290854210674,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003_metrics_global.csv
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,87233.71850535327,105921.99345584556,10.93026951968666,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001_metrics_global.csv
transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003,64173.72574110104,85342.67881168528,6.693672055848654,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003_metrics_global.csv
transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003,62559.51665476087,80319.22658067266,7.016417295111905,transformer_exog_metrics_global.csv
