Store,MAE,RMSE,sMAPE,WAPE,model
1,99591.36025641023,130218.15620228986,6.220529225400964,0.06216652587793685,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
2,81974.86743589745,111192.47737846135,4.27363854795255,0.04286711580228767,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
3,31760.67355769231,41683.85496046674,7.650258463185773,0.07487335327904496,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
4,91285.23999999999,120143.11722233554,4.204570906890768,0.04195888375532192,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
5,21684.878205128203,28612.07738265895,6.570398758963879,0.06514580516747333,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
6,83944.86653846152,116025.68652600158,5.341145872512139,0.05372815516153758,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
7,68313.84814102564,82016.59993809991,11.662816597133448,0.11613179008400004,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
8,36779.10698717949,51881.12810566581,3.9514505821780324,0.03989721579082738,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
9,32561.50012820513,43187.051761860785,5.774346728992875,0.05767835693926087,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
10,123977.81628205125,146074.72979344215,6.65311426523534,0.06759998086108467,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
11,73471.23269230769,97517.0419234063,5.357085783850381,0.053794294432172464,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
12,65678.59782051283,84714.35913336533,6.409854411827411,0.06439170826506116,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
13,87312.65948717948,110370.85804361095,4.289236288790435,0.04283200566470295,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
14,245895.2569230769,298073.39037352573,13.256486758060804,0.1360242124699075,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
15,47342.64923076924,54586.38503246327,7.93448315234833,0.08063252842583676,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
16,41786.757884615385,51286.30021436654,8.1199842506861,0.08107475756495043,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
17,74146.33403846153,99269.89669699344,7.867920357508139,0.0789331165783229,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
18,53675.442756410266,65465.388294881726,5.089627779684067,0.05070091928666507,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
19,80383.60653846154,92395.75657776857,5.724788607994398,0.05779055694536911,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
20,106089.62243589743,146942.20599422505,4.972964504860311,0.050274734971996825,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
21,64857.81461538462,76610.28977837293,8.91788623174117,0.09125647084842133,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
22,47863.53378205129,61412.89590343382,4.71768242512706,0.047593381799796455,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
23,95432.89628205128,119293.77936348534,6.781834054360465,0.06841521000194238,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
24,85298.1146153846,103242.27563584656,6.301480960327251,0.0632800177156465,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
25,36398.94128205128,44339.39343935695,5.233539059576106,0.05246932167653554,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
26,70009.25,78555.19028016806,6.946763919538449,0.06910596481754279,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
27,118134.1432051282,140768.35496308826,6.878840478247316,0.06971495517931693,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
28,134189.67653846156,151050.16404336132,10.21680684234557,0.10375658770475595,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
29,32909.72766025642,42052.02943685536,6.238093157908441,0.06264847588708919,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
30,15749.38541666666,19164.018695425704,3.646277407782426,0.03608891634649534,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
31,49565.802692307676,66003.09252925758,3.5295551325870145,0.035486528641276126,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
32,44250.6821794872,55009.68719929259,3.7577853403752477,0.03753507600953214,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
33,22644.362179487183,28192.102470543545,8.637066943180647,0.08485739827363259,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
34,32459.809679487178,48458.18964918137,3.2986056259358474,0.033236857791231374,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
35,51820.91794871796,63968.86333065859,6.161650631966164,0.06183822469769774,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
36,59443.84211538461,62372.07478675565,17.772058733609974,0.193214155520518,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
37,17816.055064102562,22352.71645509472,3.4234892313436514,0.03397649798525897,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
38,60397.49977564102,66478.10531552849,14.773781808324975,0.13928628034232876,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
39,124667.69025641025,151062.26633959755,8.236218692587897,0.08060029264287046,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
40,55845.1475,72578.08387053241,5.735578094316309,0.057533231141325934,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
41,101086.43153846155,126329.65041122652,7.622831695890578,0.07530911283785727,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
42,47361.17224358974,56399.03628646907,8.245211084849606,0.08197916404455734,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
43,28749.640128205137,35144.587232996964,4.6183206949911755,0.0458887259326126,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
44,37706.304070512815,40759.191080713725,11.980660625548543,0.11378023673139934,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
45,39888.45621794873,47679.62627834708,5.150482070298348,0.05184037454699435,deepar_exog__hs40__nl2__do0.1__lr0.001__bs32
