Store,MAE,RMSE,sMAPE,model
1,63624.59812499999,77233.09662597912,4.088182388979877,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
2,61906.220625000016,76830.38876487146,3.3181366095866025,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
3,15242.60828125001,19799.798304410117,3.7069335206743284,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
4,45194.941249999974,58075.14196008383,2.1296242595283945,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
5,14075.929062499992,16963.125073996343,4.358402761010197,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
6,83327.78562499999,95615.7398276477,5.658403275383017,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
7,111014.22062499999,112517.2707795011,19.14471108388374,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
8,29452.049062499995,38084.31007548608,3.2350907138809744,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
9,21664.000625000022,27281.88940824442,3.9175177129968564,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
10,117916.12687499999,125574.0459457809,6.689973398277944,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
11,71757.57875000002,81111.68661728209,5.509045575167926,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
12,62720.609999999986,73999.20733482891,6.542292795548553,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
13,69909.64062499997,78518.9062345772,3.4786798770943874,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
14,310640.661875,330350.19627715414,17.45076195628414,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
15,49387.138437500005,53690.18255910049,8.557761965065772,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
16,43598.9990625,46947.462749295664,8.418056191449155,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
17,89740.6775,134304.5824728569,8.865081774553289,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
18,57573.56468750001,63968.7020692752,5.542429591254269,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
19,67746.539375,72617.65298399467,4.873789904174018,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
20,81873.71562499998,91836.8599450596,3.898107836865731,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
21,78038.26375,80378.24106692676,11.325729296615787,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
22,50745.30656249999,64470.06759362509,5.100087908480598,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
23,68866.05875,85310.16067532264,4.97344460294204,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
24,77743.39687499998,86931.47745067012,5.8046353925240375,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
25,26848.750625,34953.837585030524,3.8771611886044646,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
26,62765.744999999995,74129.98341912305,6.129572936042261,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
27,106085.49125000002,124258.03015649837,6.422892132179983,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
28,138519.815625,145037.66506898004,10.963083345996257,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
29,23079.12187500001,28939.097643065907,4.514154872772231,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
30,24133.27859375,25093.246448848633,5.6664385253902365,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
31,38951.76562499997,49818.4060739989,2.8668684168564016,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
32,40632.20062500003,45419.01466361817,3.4670958064356374,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
33,19358.97578125001,24557.018200948027,7.3694212498462015,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
34,13638.545937500021,15946.921800563581,1.430941690438202,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
35,49631.17593750001,66322.80886252648,5.784030105362537,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
36,27514.40781250001,29764.529372415327,9.218045585875164,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
37,28012.448437500003,30961.658865380323,5.397604217137157,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
38,35507.09703125,44769.71031201953,8.334818187156408,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
39,70061.79000000001,77934.26983076856,4.603286176390181,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
40,63730.010624999995,71433.33577096545,6.536072658231058,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
41,49658.353124999994,56664.63218819435,3.708342711436252,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
42,39300.54312500001,42816.077289115674,7.000526273470646,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
43,26505.368124999994,32606.37968346662,4.3060085857615,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
44,35916.15,37804.71213486465,11.022843619149576,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
45,51563.2459375,57089.57395500968,6.841588767378608,deepar_exog__hs40__nl3__do0.2__lr0.0005__bs64
