model,Store,MAE,RMSE,sMAPE
deepar_exog,1,63187.09812499999,72535.22668648888,4.063789884767362
deepar_exog,2,57557.48250000004,71639.8949891124,3.0804934421870556
deepar_exog,3,10764.173750000002,15598.59684469298,2.592596568890281
deepar_exog,4,39508.11375000008,50746.64150096062,1.8611857252782156
deepar_exog,5,14828.231718749994,17973.278986217832,4.584132448455478
deepar_exog,6,109602.75437499999,117663.70901159759,7.375720368129327
deepar_exog,7,74508.29093749999,82498.74506699077,13.334996720317786
deepar_exog,8,59886.23593750001,80696.82054671971,6.372216244785282
deepar_exog,9,25024.604687500025,31382.254954300315,4.517153051082648
deepar_exog,10,156746.439375,158741.17954201662,8.780245174951032
deepar_exog,11,80051.93812500002,88578.63759819015,6.132235441209333
deepar_exog,12,79617.32874999999,91287.24495158036,8.21426301695428
deepar_exog,13,81650.93750000003,103129.9119370997,4.052015825163292
deepar_exog,14,291272.1775,321553.6640215131,16.4467781055619
deepar_exog,15,50571.708750000005,54326.45347172314,8.759437187020733
deepar_exog,16,30104.262187499997,35360.06489870977,5.9026476670218315
deepar_exog,17,96754.39718750001,145313.58751472316,9.627303532922959
deepar_exog,18,47539.58812500001,55182.49889207524,4.575950273797954
deepar_exog,19,57330.00812499999,66736.99801401251,4.133056050106367
deepar_exog,20,87715.79374999998,97019.78274406595,4.188377405719473
deepar_exog,21,89832.310625,90962.44793268584,12.922954701431063
deepar_exog,22,43978.884374999994,56673.831394155895,4.429970647507089
deepar_exog,23,55451.826875,68592.34043673858,4.036788948579815
deepar_exog,24,88826.54312499997,98510.51295754297,6.611821445245994
deepar_exog,25,19595.43125000001,23963.034653891056,2.8464161845404305
deepar_exog,26,43320.19,51168.887027455654,4.261989113986211
deepar_exog,27,105696.91562500002,117882.3011380077,6.398940212187448
deepar_exog,28,134250.003125,138351.0677529775,10.635563269473218
deepar_exog,29,21915.90312500001,26316.33428401341,4.287843768432467
deepar_exog,30,20767.173125,22572.326736997038,4.85621423850462
deepar_exog,31,48762.50249999997,60689.69483278253,3.5718073021534744
deepar_exog,32,27143.863125000003,37167.27309816171,2.3169972904842866
deepar_exog,33,18519.93570312501,22879.38695405833,7.029028861111554
deepar_exog,34,14278.226250000007,19074.05433251449,1.4930136406123848
deepar_exog,35,40409.914062500015,59031.41968179049,4.668945481956308
deepar_exog,36,34500.67343750001,37577.69304994931,11.379514346835862
deepar_exog,37,20191.595468750005,23911.266198413738,3.854818752033718
deepar_exog,38,33128.37046875,41142.61305151709,7.735788218379888
deepar_exog,39,57766.22562499999,61496.7431798282,3.777860489691779
deepar_exog,40,64240.034062499995,75938.10242129776,6.580606374090147
deepar_exog,41,42199.713750000024,59152.852216148145,3.1364789483278113
deepar_exog,42,36957.45718750001,39061.40285810847,6.5878514236183285
deepar_exog,43,22463.961874999994,28512.637108337087,3.64167104332303
deepar_exog,44,30750.65390625,32394.433701517133,9.3610524917356
deepar_exog,45,51645.9334375,53392.31304547503,6.841193982625259
