model,Store,MAE,RMSE,sMAPE,WAPE
sarimax_exog,1,892380.2887444422,915378.2811609834,43.44500962703007,0.5570381022044668
sarimax_exog,2,738414.5540060583,755314.0391423345,32.34188684488746,0.38613910807998325
sarimax_exog,3,89875.59113495181,98193.47665036179,19.1447320008077,0.2118748166340585
sarimax_exog,4,571117.3754312248,758812.0551146384,33.51962609048293,0.26251174413698547
sarimax_exog,5,132920.4155476376,138540.8454352627,33.15242578734036,0.39932008896403204
sarimax_exog,6,747371.2506461838,778225.2803367026,38.34841865829564,0.4783482322840142
sarimax_exog,7,532324.0970931977,544609.4891030202,157.0766640865722,0.9049373147983517
sarimax_exog,8,393677.7801615824,411895.53403067554,34.97623595635646,0.42705352668392954
sarimax_exog,9,278058.4122901355,286575.13736455207,39.457218887819685,0.49254341141802455
sarimax_exog,10,335425.59143404406,386273.50799727865,18.899175659919404,0.18289371632158755
sarimax_exog,11,539631.4457085391,568701.1961306579,32.856069442485285,0.39510828676137527
sarimax_exog,12,438645.5509475008,446853.551448327,35.44598711795202,0.4300508428265643
sarimax_exog,13,608024.1137350849,624113.2617630921,25.906644330352826,0.29827166457575544
sarimax_exog,14,468854.9503841217,525326.4193475615,29.46188967392859,0.25936094167350515
sarimax_exog,15,53223.02214350108,66987.10342490117,8.800919626522244,0.09064779676726724
sarimax_exog,16,670384.1462116516,677927.4542452329,197.8877687871515,1.3006807630200574
sarimax_exog,17,318139.8181718077,374440.6060443258,45.4038731906523,0.3386784752289392
sarimax_exog,18,164162.14526300185,201753.13610428845,17.271410145901655,0.15506479778243165
sarimax_exog,19,76899.66720820377,102320.9244542005,5.528219213967836,0.05528583237614819
sarimax_exog,20,88168.52541230887,125585.72623690586,4.118319559666986,0.04178211917620818
sarimax_exog,21,674407.2240626911,682834.4223395986,64.27346288860895,0.9489068286929785
sarimax_exog,22,219543.05675699256,244382.5897860744,24.73911060832458,0.21830390896980126
sarimax_exog,23,175595.39967964025,197285.2698957581,12.1444687198111,0.12588317668733515
sarimax_exog,24,652004.5479124613,663189.9887154509,38.98652507711028,0.4837018910514239
sarimax_exog,25,155447.3045218403,163093.7503281099,20.224087782599312,0.22407834781526287
sarimax_exog,26,408698.6623426755,422198.2852244895,33.65075086431209,0.40342548135895945
sarimax_exog,27,376353.907799543,392372.4767809135,20.076423801315023,0.2220991755808235
sarimax_exog,28,357412.47249971144,375121.58528760774,24.587977287413242,0.2763543329583999
sarimax_exog,29,64662.345244272925,76763.7735785336,11.704664340814706,0.12309422364897517
sarimax_exog,30,14325.140272258028,16912.838898079994,3.2530505924882034,0.032825330973883134
sarimax_exog,31,541383.80005429,557751.371486461,32.365658224518604,0.3876025542411125
sarimax_exog,32,566777.2559868947,576110.9380372885,38.62536742405449,0.4807615687742756
sarimax_exog,33,157919.56796140937,168273.00511629385,44.79481568343198,0.591787199280911
sarimax_exog,34,217843.86699471853,239667.89477259494,21.92734787087513,0.22305878252178868
sarimax_exog,35,112022.89898604859,133484.76182426533,14.792492441427804,0.13367762426829316
sarimax_exog,36,96853.33474677755,98206.06954065974,27.18865152065174,0.31480864319167984
sarimax_exog,37,96522.86662849796,97883.87500330564,20.235320578267153,0.18407604667446498
sarimax_exog,38,81151.19050795003,88463.9315039763,20.88662547652023,0.18714760566566996
sarimax_exog,39,620578.7900924687,654693.8163048049,32.88556285249115,0.4012172840174967
sarimax_exog,40,264995.5007371281,279324.73365918477,24.14845912518179,0.27300576823296235
sarimax_exog,41,975233.7671326802,981477.4369804156,53.3681304521833,0.7265464681512626
sarimax_exog,42,244431.2918827944,263416.0576689483,34.18537867020349,0.4230949536430621
sarimax_exog,43,62107.85835385721,69366.82204594242,9.463722721760067,0.09913343184652965
sarimax_exog,44,79288.08211455517,81882.09991135795,27.60400202645441,0.23925486666903714
sarimax_exog,45,162022.0017537349,170689.62628100705,19.15317714915731,0.21056922358373803
