Store,MAE,RMSE,sMAPE,model
1,84115.67915562165,100443.13543138174,5.385307372354879,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
2,65728.2523529421,81413.73457806215,3.5163321390469484,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
3,52369.63062437906,54872.94857796919,11.967289324149839,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
4,44521.36794358108,60046.34881628396,2.0931445114740086,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
5,90085.19809899208,92067.77628777694,24.666007880291936,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
6,116147.25074872148,136012.76435871728,7.7910518081227025,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
7,244921.69398021797,246658.89614110076,37.829568832504314,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
8,57480.40404237693,62881.241161947284,6.200848723556242,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
9,123002.66372226112,126982.7510380446,20.165425977726223,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
10,62005.28465757819,78413.75300431589,3.5803685118016677,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
11,77232.65241503247,88798.08741073635,5.924532385036897,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
12,114009.01762999744,119852.58205305433,11.529061961402956,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
13,63468.58913083607,72001.06712157116,3.1555261992028747,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
14,239538.5730933987,262138.66971324373,13.77707852079814,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
15,101858.98429206038,103661.94387773931,16.846930734425236,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
16,111774.6646042032,118780.1693925976,20.04045101047756,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
17,73086.26216004466,105125.25898999367,7.023993420114948,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
18,81156.91471837263,97355.54199104727,7.615052515531677,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
19,56686.88524336563,63188.91164421118,4.091584475466854,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
20,68547.0484138474,89628.31601138404,3.270659602321489,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
21,125189.68233666991,125927.59399794492,17.548775345403882,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
22,99181.3959225301,111217.00066180938,9.688920423102948,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
23,78336.88555303757,89510.51196201312,5.648777737756493,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
24,85793.04170184833,88900.73144179989,6.414963936853088,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
25,87742.87377382086,88670.28982874,12.1182628878047,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
26,60754.97535218665,67691.17083407495,5.965544339715759,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
27,103732.94289632281,122736.97464327146,6.289931816030422,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
28,105495.35820291744,135714.2667984653,8.290269236521095,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
29,124520.52752056484,125919.46954334983,21.820659891835433,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
30,37082.060162354086,38724.12354234267,8.121204554725567,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
31,52359.97181237917,68031.02827540613,3.8200369747476417,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
32,68418.87609034192,77098.95539902379,5.683482716455428,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
33,60427.00860428648,63336.09995474662,20.561245038903643,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
34,55058.67082034645,58256.53311893487,5.603951444417931,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
35,56121.017577500825,66037.20879848003,6.477066856069448,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
36,116679.41127212363,118547.17420116748,33.76407042854336,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
37,60682.472353141435,61767.56297098216,10.80994394096452,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
38,40949.97248445844,46556.8688174364,9.16608383810931,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
39,45583.4877703487,49627.88602713025,2.972961004638446,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
40,99925.48395678209,111342.08883684005,10.107038367401808,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
41,66061.05361312992,72795.4990649201,4.863273595979377,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
42,45289.412880474454,58150.990749327575,8.002512121079363,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
43,116197.47312410334,122535.08516988312,17.22931428814863,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
44,60927.729843019064,63602.437754477156,16.32875831336498,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
45,145268.5300883786,146755.77057964174,18.09486338151902,transformer_exog__dm64__nh4__nl2__do0.1__lr0.001
