Store,MAE,RMSE,sMAPE,WAPE,model
1,227526.52057378733,258039.04300884268,15.145764602019717,0.14202570677567247,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
2,142222.17891611933,190754.06537038612,7.649999856375925,0.07437224119963858,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
3,51740.14103022629,58859.44784334536,13.139083215696706,0.12197341630764894,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
4,169548.7249539899,209966.9860670259,7.69566058789886,0.07793237155543997,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
5,80300.39314629896,90069.78662542543,28.70201977671598,0.24123878941331484,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
6,178288.19638243708,210262.69665181712,11.895432265614382,0.11411175303158475,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
7,139480.47234554953,172874.6204410385,26.84371089190127,0.23711322632288973,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
8,245207.40086090402,262679.22162433254,31.30503818714481,0.26599592505238373,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
9,36403.416315416944,48210.02896508072,6.273137483661602,0.06448379932687306,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
10,139535.35231853373,222352.53417591672,7.718469972081062,0.07608286247531831,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
11,174898.16664664214,206436.9000618667,13.571336138323314,0.12805724264405446,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
12,196063.49784675904,209093.0926541621,21.32410950507,0.1922218800906395,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
13,93535.90902537291,131077.74823805073,4.60419988636602,0.04588487635995305,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
14,205668.28662187248,241883.63684991642,11.372821435737848,0.11377147761140864,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
15,45133.149531367315,54476.221400797156,7.667705236641997,0.07686937722467597,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
16,73535.70030324464,83436.03170685541,14.421668225140257,0.1426741239633094,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
17,91607.16080939605,130111.79917434111,9.917622230739523,0.09752118964946285,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
18,146995.2091219365,171710.88255399838,15.00448326170655,0.13884919900968484,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
19,147701.33869364834,182826.95851736362,11.139789615398826,0.10618760456584386,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
20,137992.884712262,195798.5015917447,6.597939230207655,0.06539334901603751,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
21,42094.19391124098,57561.08058930558,5.98196890193407,0.0592275210370373,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
22,183133.64063403197,209930.02957995154,20.390610711597425,0.18209999534866486,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
23,101900.8219563157,121767.38325028142,7.265650273736749,0.07305202299328172,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
24,322160.98029389913,361457.05960569927,27.236506505998502,0.23900120925546273,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
25,55115.72177369218,61695.385707038746,8.053273534560459,0.07944968818651628,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
26,216483.8004649547,258967.05221646783,24.23318846687639,0.21369064657169035,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
27,169026.92998770205,207110.44673259457,10.321635530307987,0.09974851070557102,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
28,191476.3199485223,242330.8168241274,15.693058661073314,0.14805110271227523,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
29,68585.5389160234,78885.65044957145,13.701607010114122,0.1305625961217702,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
30,91831.59100721101,102950.54528960075,24.33129102205042,0.21042742419127602,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
31,102243.74368518469,126642.88463007135,7.558665162850682,0.07320118593053046,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
32,134065.11710040664,157296.75464377156,12.190130023636955,0.11371902336283722,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
33,53374.12056268627,60851.41676746762,22.181021717883926,0.20001398008885418,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
34,128813.19449544665,143056.8004677488,14.246226103747595,0.13189682469965203,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
35,93332.56461980722,119256.36832548684,11.636590059511335,0.11137433166049926,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
36,72025.44599651315,82200.67787894967,28.22272551573711,0.23410895441772409,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
37,79974.78361639183,91619.70683991569,16.97291160472023,0.15251766255981394,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
38,78616.31918532711,92073.56408305015,20.39564629823988,0.1813017875608453,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
39,126802.05970359541,159718.70265627213,8.454841038240675,0.08198020753258486,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
40,91972.21156051119,114150.00563472502,9.66898518176428,0.09475234184473807,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
41,94799.04055725559,118528.2114817924,7.198930296884771,0.07062502388889474,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
42,96353.84270550347,114101.88054192901,18.5948097420731,0.16678234729603977,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
43,196476.08163617845,205509.18115075215,38.071216222895735,0.3136052146152235,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
44,75981.98556848282,88106.22859445622,26.195726594851607,0.22927859196002515,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
45,158977.58262907108,168242.40904475414,23.40364024227588,0.20661259445679808,transformer_exog__dm64__nh4__nl2__do0.2__lr0.0003
