model,Store,MAE,RMSE,sMAPE,WAPE
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,1,141721.2851263311,170548.7245444232,9.079770648957933,0.0884647013212519
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,2,115566.4805476345,145903.0869202201,6.088871594155765,0.06043317738052086
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,3,36653.131510210806,48110.45950541668,8.094447338511287,0.0864069478678496
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,4,109806.16342023264,138641.37755964595,4.987411794648172,0.05047194975406126
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,5,54412.15079870634,67176.55477771391,14.642130007522278,0.163465219455898
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,6,228317.43360265635,247337.34681495832,15.53037109041924,0.14613251535836438
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,7,117000.7909827395,144599.55656073565,18.285820669006092,0.19889834444722984
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,8,115628.0422854593,129672.48028364738,11.842116124285948,0.12543091261410919
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,9,80326.57047692507,90807.06757560873,13.212459351397737,0.14228781184628322
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,10,208066.16601864726,245154.16107095184,10.973627033722492,0.11344988371710901
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,11,104377.68996338508,136589.50434739253,7.4917734808500605,0.07642343785839627
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,12,68490.42819469291,88704.8851673684,6.908608219357495,0.0671484443579942
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,13,93241.72976993072,120651.66182100133,4.550663152479381,0.045740564096307154
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,14,250131.4282190673,295211.9686016791,13.474397310916228,0.13836757554097717
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,15,84620.83994699045,111667.41917966091,13.232869424021832,0.1441235839841704
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,16,132232.30911183977,171055.2788918452,22.288597680133645,0.2565574106777744
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,17,142824.20545982473,167421.1196966629,14.265781124233403,0.15204473432117108
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,18,100810.64605359377,129561.7246394865,9.98236379307385,0.09522403852345321
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,19,98267.33400592377,131405.9550547995,6.905096427547537,0.07064778760606769
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,20,127177.4328132835,173036.74928191974,6.0047420911520195,0.06026802228436714
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,21,112779.48530500647,122482.6599375248,14.598558615799261,0.15868338879544983
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,22,93501.10944301226,114366.4997193831,9.578235584825105,0.09297336926039065
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,23,120917.58070742115,162290.39162974368,8.56419870956395,0.08668501113678259
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,24,102513.38320503551,132106.05572333123,7.55876258152447,0.0760514899368653
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,25,106031.03589652781,132213.4978082585,14.044299315760599,0.15284446014627814
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,26,156653.02777778573,175661.18342112066,16.42708085987616,0.15463183259602428
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,27,113284.59037681934,151379.4637933657,6.631882986674075,0.06685306996228677
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,28,161440.99712977544,204634.5176165606,12.952515513048603,0.12482753822748606
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,29,64468.99638177488,75411.24713702875,12.267499610926356,0.12272615583404052
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,30,41922.637485683605,53324.26417586246,8.987225117857735,0.09606359341769781
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,31,74426.65909137561,105724.9016292907,5.187821011373552,0.05328560471251048
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,32,86278.34152417492,113564.93395286002,7.373419494155473,0.07318450129086365
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,33,42042.29994494333,55705.194458826525,14.223388818841553,0.1575491578208087
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,34,82892.10824882115,103509.780389599,8.982333887453647,0.08487644385735511
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,35,131114.76605807996,160758.8140566281,14.5783361952943,0.15646006835905943
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,36,48690.297356404124,54768.51656420031,14.424868855389096,0.1582612151398226
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,37,42470.36881554432,51282.06450518898,8.262513564109339,0.08099404695947679
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,38,51474.158642537295,61396.52115830362,12.399675253945137,0.11870763057581982
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,39,101945.59774877175,133782.2035499847,6.612214409457094,0.06590998032692644
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,40,118286.69835407939,139901.5072753774,12.577317182664554,0.1218622613065808
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,41,116198.84765527252,157669.1027183255,8.355689386589107,0.086567821185481
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,42,71182.34986813164,84421.59927421735,13.079692315733793,0.12321210097806354
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,43,50641.233605918125,61685.165505700075,8.27999783095299,0.0808309836042622
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,44,51600.38688114225,58997.52604838117,15.773082587021468,0.15570617114286453
transformer_exog__dm64__nh4__nl2__do0.1__lr0.001,45,64470.49012083022,75473.40878915504,8.66983924215971,0.08378800966451665
